pais;codigo;continente;renda;pib_dolares_precos_correntes;populacao;expectativa_de_vida_ao_nascer_mulheres;expectativa_de_vida_ao_nascer_homens;taxa_de_fertilidade;nascimentos_por_1000_mulheres_entre_15_e_19_anos;dias_necessarios_para_abrir_negocio;proporcao_de_mulheres_no_parlamento_nacional
Ethiopia;ETH;Africa;Renda Baixa;1.08E+11;114963583;68.905;65.036;4.049;61.7704;32;38.75685558
Finland;FIN;Europa;Renda Alta;2.72E+11;5529543;85;79.4;1.37;5.3504;13;46
Fiji;FJI;Oceania;Renda Média-Alta;4574413823;896444;69.498;65.767;2.729;48.7158;40;19.60784314
France;FRA;Europa;Renda Alta;2.63E+12;67379908;85.3;79.2;1.83;4.7546;4;39.51473137
Faroe Islands;FRO;Europa;Renda Alta;3240759989;48865;85.5;80.8;2.3;;;
Micronesia;FSM;Oceania;Renda Média-Baixa;412479413.4;113811;69.596;66.232;3.01;12.5308;16;0
Gabon;GAB;Africa;Renda Média-Alta;15316824039;2225728;68.931;64.577;3.869;88.2392;10;14.78873239
United Kingdom;GBR;Europa;Renda Alta;2.76E+12;67081000;82.9;79;1.56;11.183;4.5;33.84615385
Georgia;GEO;Asia;Renda Média-Alta;15842922533;3722716;78.273;69.508;2.046;42.7384;1;20.66666667
Ghana;GHA;Africa;Renda Média-Baixa;70043199814;31072945;65.477;63.238;3.765;64.1306;13;13.09090909
Gibraltar;GIB;Europa;Renda Alta;;33691;;;;;;
Guinea;GIN;Africa;Renda Baixa;14169626010;13132792;62.507;61.18;4.552;129.507;15;16.66666667
Gambia;GMB;Africa;Renda Baixa;1813608280;2347696;63.481;60.656;5.154;73.2266;25;10.34482759
Guinea-Bissau;GNB;Africa;Renda Baixa;1431758243;1967998;60.524;56.62;4.331;100.0296;8.5;13.7254902
Equatorial Guinea;GNQ;Africa;Renda Média-Alta;10099157270;1402985;60.25;58.056;4.346;149.1132;33;21
