ano;GEOCODIGO;cidade;rede;educacao_infantil;anos_iniciais;anos_finais;ensino_fundamental;ensino_medio;eja_fundamental;eja_medio
2021;4309258;GUABIJU;Total;80;62.9;70;66.7;62.2;0;0
2021;4309308;GUAÍBA;Total;43.5;75.2;69.7;72.7;55.1;51.7;48.1
2021;4309407;GUAPORÉ;Total;75.2;78.9;76;77.5;68.3;9.7;0
2021;4309506;GUARANI DAS MISSÕES;Total;100;66.4;55.9;60.6;66.3;50;0
2021;4309555;HARMONIA;Total;54.5;77.9;55.2;67.5;50.6;0;0
2021;4309571;HERVEIRAS;Total;72.4;44.5;78.9;59.1;60.4;0;0
2021;4309605;HORIZONTINA;Total;65;79.7;63.1;72.5;59.8;13.5;72.7
2021;4309654;HULHA NEGRA;Total;75;85.8;64.3;73.8;51.4;45;0
2021;4309704;HUMAITÁ;Total;31.6;62.3;62.8;62.6;77.3;17.6;0
2021;4309753;IBARAMA;Total;50;76;67.1;71.2;65.2;0;0
2021;4309803;IBIAÇÁ;Total;68.4;83.2;79.5;81.4;77.2;0;0
2021;4309902;IBIRAIARAS;Total;77.3;73.5;51.6;60.2;74.8;0;0
2021;4309951;IBIRAPUITÃ;Total;64.3;87.7;68.5;79.6;70.3;0;0
2021;4310009;IBIRUBÁ;Total;56.5;71.1;63.3;67.6;73.9;31.9;66.6
2021;4310108;IGREJINHA;Total;74.1;74.4;74.5;74.4;50.2;18.8;0
2021;4310207;IJUÍ;Total;70.5;70.5;70.8;70.6;81;26.5;68
2021;4310306;ILÓPOLIS;Total;85.7;59;49.5;54.2;73.8;0;0
2021;4310330;IMBÉ;Total;57.9;62.4;77.7;70.1;76.5;40;64.3
2021;4310363;IMIGRANTE;Total;13;72.2;83.8;76.9;48.5;0;0
2021;4310405;INDEPENDÊNCIA;Total;60.9;87.5;66.5;73.9;91.7;0;0
2021;4310413;INHACORÁ;Total;100;85.7;90;88.6;60;0;0
2021;4310439;IPÊ;Total;80;76.2;55.2;64.3;56.4;0;0
2021;4310462;IPIRANGA DO SUL;Total;75;65.7;80;74.7;50;0;41.7
